Title,Description,Date,Archive,Download_URL
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Patriarch_of_Antioch.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Petroleum_pipeline_sign_-_panoramio.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:Ridpath%27s_Universal_history_-_an_account_of_the_origin,_primitive_condition_and_ethnic_development_of_the_great_races_of_mankind,_and_of_the_principal_events_in_the_evolution_and_progress_of_the_(14597753850).jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:RUINS_OF_IRON_GATE,_ANTIOCH_ANTAKYA,_TURKEY_(cropped).jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:RUINS_OF_IRON_GATE,_ANTIOCH_ANTAKYA,_TURKEY.jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:Seal_of_Michael_Kontostephanos,_duke_of_Antioch,_1055.jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Seal_of_Romanos_Skleros_(Schlumberger).png
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:Seal_of_Romanos_Skleros,_proedros,_stratopedarches_of_the_East,_doux_of_Antioch_(Schlumberger,_1900).png"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Silkworm_Cocoon_purchasing_in_Antioch.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:SMWM_Gr%C3%A4berstra%C3%9Fe_-_Inschrift_Lucius_Saplius_Agrippa.jpg
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:Stadtmuseum_Wels,_Ovilava_Municipium_Aelium_Ovilava,_Noricum,_Austria_(51968553039).jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:The_Kaoussie_Church,_also_known_as_the_martyrion_of_Saint_Babylas,_in_Antioch_(Syria).jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:The_remains_of_the_massive_Temple%27s_podium,_probably_dating_to_the_end_of_the_2nd_century_AD,_Antioch_on_the_Orontes,_Antakya,_Turkey_(35477346333).jpg"
Category:Antioch - Wikimedia Commons,,,commons.wikimedia.org,"https://commons.wikimedia.org/wiki/File:The_remains_of_the_massive_Temple%27s_podium,_probably_dating_to_the_end_of_the_2nd_century_AD,_Antioch_on_the_Orontes,_Antakya,_Turkey_(36115586102).jpg"
