ID,Filename,Title,Description,Category,Location,Date,Image_URL,Can_Download
115,Byzantine_Roman/0115_CategoryByzantine architecture - Wikimedia Commons.jpg,Category:Byzantine architecture - Wikimedia Commons,No description available,Byzantine_Roman,,,https://commons.wikimedia.org/wiki/File:%CE%95%CE%BD%CE%B1%CF%80%CE%BF%CE%BC%CE%B5%CE%AF%CE%BD%CE%B1%CE%BD%CF%84%CE%B1_%CE%BC%CE%AD%CE%BB%CE%B7_%CF%84%CE%B7%CF%82_%CF%80%CE%B1%CE%BB%CE%B1%CE%B9%CE%BF%CF%87%CF%81%CE%B9%CF%83%CF%84%CE%B9%CE%B1%CE%BD%CE%B9%CE%BA%CE%AE%CF%82_%CE%B2%CE%B1%CF%83%CE%B9%CE%BB%CE%B9%CE%BA%CE%AE%CF%82_1.JPG,Yes
116,Byzantine_Roman/0116_CategoryByzantine architecture - Wikimedia Commons.jpg,Category:Byzantine architecture - Wikimedia Commons,No description available,Byzantine_Roman,,,https://commons.wikimedia.org/wiki/File:%CE%95%CE%BD%CE%B1%CF%80%CE%BF%CE%BC%CE%B5%CE%AF%CE%BD%CE%B1%CE%BD%CF%84%CE%B1_%CE%BC%CE%AD%CE%BB%CE%B7_%CF%84%CE%B7%CF%82_%CF%80%CE%B1%CE%BB%CE%B1%CE%B9%CE%BF%CF%87%CF%81%CE%B9%CF%83%CF%84%CE%B9%CE%B1%CE%BD%CE%B9%CE%BA%CE%AE%CF%82_%CE%B2%CE%B1%CF%83%CE%B9%CE%BB%CE%B9%CE%BA%CE%AE%CF%82_%CF%80%CE%AD%CF%84%CF%81%CE%B5%CF%82.JPG,Yes
117,Byzantine_Roman/0117_CategoryByzantine architecture - Wikimedia Commons.jpg,Category:Byzantine architecture - Wikimedia Commons,No description available,Byzantine_Roman,,,https://commons.wikimedia.org/wiki/File:%CE%95%CE%BD%CE%B1%CF%80%CE%BF%CE%BC%CE%B5%CE%AF%CE%BD%CE%B1%CE%BD%CF%84%CE%B1_%CE%BC%CE%AD%CE%BB%CE%B7_%CF%84%CE%B7%CF%82_%CF%80%CE%B1%CE%BB%CE%B1%CE%B9%CE%BF%CF%87%CF%81%CE%B9%CF%83%CF%84%CE%B9%CE%B1%CE%BD%CE%B9%CE%BA%CE%AE%CF%82_%CE%B2%CE%B1%CF%83%CE%B9%CE%BB%CE%B9%CE%BA%CE%AE%CF%82.JPG,Yes
124,Other_Heritage/0124_Map.jpg,Map,No description available,Other_Heritage,,,"https://maps.wikimedia.org/img/osm-intl,a,a,a,250x250.png?lang=en&domain=commons.wikimedia.org&title=Category%3AArchaeological_sites_in_Turkey&revid=734070561&groups=_07f04f3cb52940eebc10a30e250386ff85f183a2",Yes
127,Archaeological_Sites/0127_CategoryArchaeological sites in Turkey - Wikimedia.jpg,Category:Archaeological sites in Turkey - Wikimedia Commons,No description available,Archaeological_Sites,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/120px-Flag_of_Turkey.svg.png,Yes
128,Archaeological_Sites/0128_CategoryArchaeological sites in Turkey - Wikimedia.jpg,Category:Archaeological sites in Turkey - Wikimedia Commons,No description available,Archaeological_Sites,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Turkey_%28orthographic_projection%29.svg/120px-Turkey_%28orthographic_projection%29.svg.png,Yes
129,Archaeological_Sites/0129_CategoryArchaeological sites in Turkey - Wikimedia.jpg,Category:Archaeological sites in Turkey - Wikimedia Commons,No description available,Archaeological_Sites,,,https://commons.wikimedia.org/wiki/File:Didyma_Map.jpg,Yes
130,Archaeological_Sites/0130_CategoryArchaeological sites in Turkey - Wikimedia.jpg,Category:Archaeological sites in Turkey - Wikimedia Commons,No description available,Archaeological_Sites,,,https://commons.wikimedia.org/wiki/File:Karahantepe1.jpg,Yes
131,Archaeological_Sites/0131_CategoryArchaeological sites in Turkey - Wikimedia.jpg,Category:Archaeological sites in Turkey - Wikimedia Commons,No description available,Archaeological_Sites,,,https://commons.wikimedia.org/wiki/File:Karahantepe2.jpg,Yes
132,Archaeological_Sites/0132_CategoryArchaeological sites in Turkey - Wikimedia.jpg,Category:Archaeological sites in Turkey - Wikimedia Commons,No description available,Archaeological_Sites,,,https://commons.wikimedia.org/wiki/File:Karahantepe3.jpg,Yes
133,Archaeological_Sites/0133_CategoryArchaeological sites in Turkey - Wikimedia.jpg,Category:Archaeological sites in Turkey - Wikimedia Commons,No description available,Archaeological_Sites,,,https://commons.wikimedia.org/wiki/File:Karahantepe4.jpg,Yes
134,Archaeological_Sites/0134_CategoryArchaeological sites in Turkey - Wikimedia.jpg,Category:Archaeological sites in Turkey - Wikimedia Commons,No description available,Archaeological_Sites,,,https://commons.wikimedia.org/wiki/File:Karahantepe5.jpg,Yes
135,Archaeological_Sites/0135_CategoryArchaeological sites in Turkey - Wikimedia.jpg,Category:Archaeological sites in Turkey - Wikimedia Commons,No description available,Archaeological_Sites,,,https://commons.wikimedia.org/wiki/File:Karahantepe6.jpg,Yes
